"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","sqrt.X4mm","sqrt.X2mm","sqrt.X1mm","sqrt.X500um","fetch","org","snapper","lobster","Status","Distance","cumsum.wi"
"CPN.sqrt.X1mm+Status+Distance","sqrt.X1mm+Status+Distance",478.21208595992,520.414163799793,0.45348,NA,19.28,0,1.001,0.924,0.037,0.043,0,0,1,0,0,0,0,0,1,1,0.289
"CPN.sqrt.X4mm+lobster","sqrt.X4mm+lobster",479.079400932741,521.580519673982,0.46683,NA,19.54,0,1.868,2.091,0.024,0.024,1,0,0,0,0,0,0,1,0,0,0.313
"CPN.sqrt.X4mm+sqrt.X500um+lobster","sqrt.X4mm+sqrt.X500um+lobster",479.090826711357,521.925136714939,0.4619,NA,19.84,0,1.879,2.435,0.024,0.02,1,0,0,1,0,0,0,1,0,0,0.337
"CPN.sqrt.X4mm+sqrt.X500um","sqrt.X4mm+sqrt.X500um",479.302765563719,522.156893109892,0.47359,NA,19.9,0,2.091,2.667,0.022,0.018,1,0,0,1,0,0,0,0,0,0,0.359
"CPN.sqrt.X4mm+sqrt.X500um+snapper","sqrt.X4mm+sqrt.X500um+snapper",479.352501207602,522.235248787769,0.46417,NA,19.87,0,2.141,2.745,0.021,0.017,1,0,0,1,0,0,1,0,0,0,0.38
"CPN.sqrt.X4mm+snapper","sqrt.X4mm+snapper",479.362901330117,521.935946256357,0.47143,NA,19.62,0,2.152,2.446,0.021,0.02,1,0,0,0,0,0,1,0,0,0,0.401
"CPN.sqrt.X4mm","sqrt.X4mm",479.37301432298,521.939049096695,0.48102,NA,19.66,0,2.162,2.449,0.021,0.02,1,0,0,0,0,0,0,0,0,0,0.422
"CPN.sqrt.X500um+Distance","sqrt.X500um+Distance",479.465024386517,521.729452923577,0.4755,NA,19.31,0,2.254,2.24,0.02,0.023,0,0,0,1,0,0,0,0,0,1,0.442
"CPN.Status+Distance+sqrt.X1mm.by.Status","Status+Distance+sqrt.X1mm.by.Status",479.472598620822,522.616963093334,0.4592,NA,20.19,0,2.261,3.127,0.02,0.014,0,0,1,0,0,0,0,0,1,1,0.462
"CPN.sqrt.X500um+snapper+Distance","sqrt.X500um+snapper+Distance",479.636303796396,521.946173965538,0.46642,NA,19.29,0,2.425,2.456,0.018,0.02,0,0,0,1,0,0,1,0,0,1,0.48
